Year, Under 25 - Male,25-29 - Male,30-34 - Male,35-39 - Male,40-44 - Male,45-49 - Male,50-54 - Male,55-59 - Male,60-64 - Male,All ages - Male, Under 25 - Female,25-29 - Female,30-34 - Female,35-39 - Female,40-44 - Female,45-49 - Female,50-54 - Female,55-59 - Female,60-64 - Female,All ages - Female, Under 25 - Both gender,25-29 - Both gender,30-34 - Both gender,35-39 - Both gender,40-44 - Both gender,45-49 - Both gender,50-54 - Both gender,55-59 - Both gender,60-64 - Both gender,All ages - Both gender
2010,681,669,724,754,776,828,880,916,916,869,646,643,679,722,740,759,789,787,782,768,667,657,700,736,756,791,833,855,856,818
2011,678,676,743,759,799,846,900,936,925,887,638,665,698,739,756,778,800,813,805,789,662,671,719,748,776,808,847,876,872,837
2012,733,679,765,800,834,873,923,965,960,919,651,681,735,768,796,811,833,838,833,819,698,680,749,781,812,839,875,902,901,868
2013,702,719,794,815,851,898,934,981,985,937,675,687,765,788,816,831,851,859,856,840,694,705,778,800,831,861,889,921,924,887
2014,695,736,816,845,871,905,955,998,991,954,672,705,787,811,818,854,866,875,865,855,685,721,800,825,839,876,907,937,932,902
2015,757,756,835,866,894,928,972,1019,1011,975,677,721,800,840,860,861,875,894,891,875,736,739,815,850,874,890,919,957,954,922
2016,763,770,853,893,916,943,989,1029,1032,991,673,710,815,853,872,884,901,903,913,891,718,739,832,869,890,909,941,966,975,938
2017,751,783,861,903,934,974,1003,1047,1042,1005,692,733,814,862,898,907,922,929,930,912,729,759,835,879,913,935,959,988,990,956
2018,732,763,855,921,939,981,1012,1060,1055,1016,700,748,843,889,900,921,931,937,938,922,718,756,848,902,917,945,967,997,999,966
2019,794,798,884,946,975,998,1038,1077,1085,1041,710,762,848,896,928,940,962,967,967,949,763,781,865,918,948,964,996,1022,1029,993
2020,833,790,886,966,1003,1026,1060,1104,1110,1065,750,768,841,926,962,976,990,993,997,976,803,779,862,942,979,997,1021,1047,1057,1018
2021,785,808,957,1002,1053,1059,1094,1125,1129,1095,766,799,874,942,988,994,1010,1005,1006,993,775,803,909,967,1014,1022,1046,1062,1070,1040
2022,826,843,956,1006,1068,1096,1116,1147,1163,1121,785,807,909,962,1007,1010,1032,1030,1028,1016,804,825,930,980,1032,1047,1068,1086,1099,1065
2023,886,872,1012,1105,1133,1163,1190,1220,1232,1193,862,854,955,1023,1077,1076,1096,1097,1099,1082,873,862,980,1058,1101,1114,1137,1156,1168,1134
