Year,NL - Male,PEI - Male,NS - Male,NB - Male,Que - Male,Ont - Male,Man - Male,Sask - Male,Alta - Male,BC - Male,YT - Male,NWT - Male,Nvt - Male,Out of Canada - Male,All locations - Male,NL - Female,PEI - Female,NS - Female,NB - Female,Que - Female,Ont - Female,Man - Female,Sask - Female,Alta - Female,BC - Female,YT - Female,NWT - Female,Nvt - Female,Out of Canada - Female,All locations - Female,NL - Both gender,PEI - Both gender,NS - Both gender,NB - Both gender,Que - Both gender,Ont - Both gender,Man - Both gender,Sask - Both gender,Alta - Both gender,BC - Both gender,YT - Both gender,NWT - Both gender,Nvt - Both gender,Out of Canada - Both gender,All locations - Both gender
2010,831,816,851,856,839,880,846,903,858,864,912,851,889,693,869,737,740,726,714,851,778,766,788,761,770,737,834,747,737,768,788,778,790,789,846,828,802,846,812,817,818,842,808,706,818
2011,853,842,858,859,845,898,871,917,882,885,949,779,811,695,887,734,753,754,744,796,803,779,800,778,788,867,796,606,798,789,794,796,806,802,817,849,825,860,831,835,900,787,742,735,837
2012,877,836,903,904,907,930,899,926,917,913,926,982,750,629,919,752,755,780,752,839,832,818,832,819,821,918,843,829,732,819,815,797,839,831,877,879,857,877,868,865,921,911,792,674,868
2013,890,851,915,899,970,948,936,955,936,935,883,835,714,878,937,790,757,812,779,909,851,851,865,829,843,778,913,903,826,840,838,805,861,835,932,897,890,911,884,886,826,868,808,857,887
2014,905,879,933,905,987,967,948,984,953,944,977,904,845,685,954,784,799,806,800,867,867,863,866,847,858,930,872,1144,898,855,844,837,870,852,913,915,903,926,899,897,953,891,1024,768,902
2015,945,887,944,947,978,986,969,1016,963,978,952,971,851,807,975,798,814,828,839,924,887,863,883,866,879,961,1005,846,734,875,869,852,884,893,946,933,912,950,915,924,956,985,849,782,922
2016,944,904,961,975,1058,1006,991,1020,991,971,994,1035,953,790,991,850,813,845,839,944,907,881,907,882,884,917,942,1020,828,891,895,857,902,907,992,952,935,965,938,926,953,986,989,812,938
2017,983,925,975,989,1133,1023,1001,1019,998,986,896,963,979,850,1005,862,803,865,881,1004,930,919,917,900,903,957,995,803,867,912,923,853,919,932,1057,973,959,966,951,942,926,978,894,857,956
2018,993,944,994,976,1097,1039,1008,1039,1014,980,1046,1049,1002,885,1016,864,835,875,865,943,947,932,914,911,901,951,927,885,770,922,931,879,932,921,1007,989,967,981,963,937,988,988,936,842,966
2019,1001,983,1006,1022,1097,1064,1026,1069,1050,1005,1069,1076,1019,941,1041,895,933,901,891,1051,972,952,955,940,931,1039,1077,1043,798,949,947,958,951,953,1070,1014,989,1014,997,966,1056,1076,1030,874,993
2020,1070,981,1043,1071,1137,1099,1064,1082,1047,1011,1003,1090,966,814,1065,931,938,925,953,1108,1008,987,966,954,934,1084,1088,1014,911,976,1002,956,982,1012,1121,1049,1024,1027,1000,971,1049,1089,987,858,1018
2021,1088,1051,1087,1101,1184,1108,1073,1101,1085,1075,1082,1116,949,878,1095,936,954,964,969,1080,1016,973,965,976,974,1099,1080,806,902,993,1014,997,1021,1033,1138,1058,1019,1035,1028,1019,1091,1097,878,889,1040
2022,1078,1078,1092,1104,1139,1137,1099,1128,1133,1099,1089,1055,1115,947,1121,989,984,963,973,1099,1036,985,1015,1020,998,1119,1090,755,1066,1016,1036,1024,1026,1033,1125,1082,1039,1070,1075,1044,1102,1074,1012,987,1065
2023,1166,1116,1176,1169,1199,1212,1180,1201,1191,1168,1267,1198,1295,896,1193,1031,1012,1045,1042,1079,1106,1078,1066,1075,1064,1226,1045,1022,858,1082,1102,1060,1108,1103,1131,1155,1127,1133,1131,1111,1242,1137,1159,877,1134
